MS_ID,Location,Collection,Reference,Headnote,MS_Date,Folia,Place_of_production,Produced_for,Notes,MS_Sources,F_%,L_%,E_%,O_%,F_Sides,L_Sides,E_Sides,O_Sides,total_sides_English,total_sides_French,total_sides_Latin,total_sides_Other,percentage_English,percentage_French,percentage_Latin,percentage_Other
52,Cambridge,Corpus Christi College,150,"William Pore OCist, Nouale. Peter the Chanter et al",s.xiii,147+7,Lincolnshire,"""the abbey at Swineshead, Lincolnshire""","""possibly from the abbey at Swineshead, Lincolnshire""",https://parker.stanford.edu/parker/catalog/cg362wn0438 ; http://mlgb3.bodleian.ox.ac.uk/mlgb/book/5332/,,,,,,,,,,0.5,301.5,,,0.16556291390728478,99.83443708609272,
520,London,British Library,Harley 4333,Anthology of Moral and Didactic poems and treatises,s.xiii (2),4+117+3,,,,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4333,,,,,,,,,,,,,,,,
521,London,British Library,Harley 4383,John Mandeville's Travels,s.xv (ex),58,,,"last tract, and total foliation, uncertain (based on MS catalogue)",https://archive.org/stream/CatalogueOfTheHarleianManuscripts3/Catalogue_of_the_Harleian_Manuscripts_3#page/n147/mode/2up,,,,,,,,,,114.0,2.0,,,98.27586206896551,1.7241379310344827,
521d,,,,,,,,,,,,,,,,,,,,5.5,84.5,,,6.111111111111111,93.88888888888889,
522,London,British Library,Harley 4388,Anglo-Norman miscellany,s.xiii (in),3+119+3,,,"post-medieval owner: ""James Ravenscroft (b. 1595, d. 1680), lawyer and merchant, Jesus College Cambridge, 1613; B. A. 1616; Inner Temple 1616: his name 'Jacobus Ravenscrofte' (f. 1r). """,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4388,,,,,,,,,,238.0,,,,100.0,,
523,London,British Library,Harley 4390,Lumiere as lais,s.xiv (med),6+82+4,,,,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=7324&CollID=8&NStart=4390,,,,,,,,,,163.0,,,,100.0,,
524,London,British Library,Harley 4417,Livre de Sydrac etc.,s.xiv (2),4+170+4,,,"""1 unfoliated ruled parchment leaf after f. 141"" ; dating based on Dean's catalogue ; ""added table of contents, late 14th century (ff. 1-7v), to complete the original one (ff. 8-11). A few chapter titles are still missing (chapter 380-387, which are included in the main text). """,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=4584&CollID=8&NStart=4417,,,,,,,,,,326.0,,,,100.0,,
525,London,British Library,Harley 4657,Latin and Anglo-Norman devotional miscellany,s.xv,3+104+3,,,"composite MS; date reflects date by which it was bound; ""Possibly from the Benedictine cathedral priory of Durham (Wright, Fontes Harleiani, 1972, p. 142): a 15th-century inscription on f. 104r refers to donations from 'priore', and various locations in Yorkshire and Durham: 'gisbouru' (Guisborough, North Yorkshire), 'pocklyngton' (Pocklington, East Yorkshire) and 'wessyngton' (Washington, Durham). The scribe who has copied the second supplement to Le Manuel des Pechiez (ff. 86r-86v) has written a key for converting Latin script into runic script and an inscription in runes in the lower margin of f. 86v. Transliterated to Latin the runic inscription reads: 'nicholas . scripsit . haec . literam'. """,http://www.bl.uk/manuscripts/FullDisplay.aspx?index=0&ref=Harley_MS_4657,,,,,,,,,,189.33333333333334,6.666666666666666,,,96.59863945578232,3.401360544217687,
525a,London,British Library,Harley 4657,Latin and Anglo-Norman devotional miscellany,s.xiv (in),4,,,"composite MS; whole MS: ""Possibly from the Benedictine cathedral priory of Durham (Wright, Fontes Harleiani, 1972, p. 142): a 15th-century inscription on f. 104r refers to donations from 'priore', and various locations in Yorkshire and Durham: 'gisbouru' (Guisborough, North Yorkshire), 'pocklyngton' (Pocklington, East Yorkshire) and 'wessyngton' (Washington, Durham). The scribe who has copied the second supplement to Le Manuel des Pechiez (ff. 86r-86v) has written a key for converting Latin script into runic script and an inscription in runes in the lower margin of f. 86v. Transliterated to Latin the runic inscription reads: 'nicholas . scripsit . haec . literam'. """,http://www.bl.uk/manuscripts/FullDisplay.aspx?index=0&ref=Harley_MS_4657,,,,,,,,,,0.3333333333333333,6.666666666666666,,,4.761904761904763,95.23809523809524,
525b,London,British Library,Harley 4657,Latin and Anglo-Norman devotional miscellany,s.xiv (in),82,,,"composite MS; whole MS: ""Possibly from the Benedictine cathedral priory of Durham (Wright, Fontes Harleiani, 1972, p. 142): a 15th-century inscription on f. 104r refers to donations from 'priore', and various locations in Yorkshire and Durham: 'gisbouru' (Guisborough, North Yorkshire), 'pocklyngton' (Pocklington, East Yorkshire) and 'wessyngton' (Washington, Durham). The scribe who has copied the second supplement to Le Manuel des Pechiez (ff. 86r-86v) has written a key for converting Latin script into runic script and an inscription in runes in the lower margin of f. 86v. Transliterated to Latin the runic inscription reads: 'nicholas . scripsit . haec . literam'. """,http://www.bl.uk/manuscripts/FullDisplay.aspx?index=0&ref=Harley_MS_4657,,,,,,,,,,164.0,,,,100.0,,
525c,London,British Library,Harley 4657,Latin and Anglo-Norman devotional miscellany,s.xiv (in),18,,,"composite MS; whole MS: ""Possibly from the Benedictine cathedral priory of Durham (Wright, Fontes Harleiani, 1972, p. 142): a 15th-century inscription on f. 104r refers to donations from 'priore', and various locations in Yorkshire and Durham: 'gisbouru' (Guisborough, North Yorkshire), 'pocklyngton' (Pocklington, East Yorkshire) and 'wessyngton' (Washington, Durham). The scribe who has copied the second supplement to Le Manuel des Pechiez (ff. 86r-86v) has written a key for converting Latin script into runic script and an inscription in runes in the lower margin of f. 86v. Transliterated to Latin the runic inscription reads: 'nicholas . scripsit . haec . literam'. """,http://www.bl.uk/manuscripts/FullDisplay.aspx?index=0&ref=Harley_MS_4657,,,,,,,,,,25.0,,,,100.0,,
526b,London,British Library,Harley 4664,Coldingham Breviary,s.xiii (ex),117,Durham,,"bound with 3 other booklets, including 15th c material at the end (ff. 320-332v); f. 200 is a ""14th century replacement page""; ""The Coldingham Priory, about 10 miles north of Berwick-on-Tweed, in Scotland, perhaps made at Durham: the abbey was a cell of Durham Cathedral Priory. 
Owned by a monk of Durham in the 16th century: inscribed 'Liber dominus Richardi Crosby monarchi Dun[ls]i' (f. 9). An inscription on an end flyleaf states that it was given to him by Hugh Whitehede, last prior of Durham, in 1521 (f. 333).""",http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=8787&CollID=8&NStart=4664 ; http://www.bl.uk/catalogues/illuminatedmanuscripts/ILLUMIN.ASP?Size=mid&IllID=28668,,,,,,,,,,0.5,233.5,,,0.2136752136752137,99.78632478632478,
527,London,British Library,Harley 4733,Brut fragment,s.xii (ex),4,,,"originally a bifolium, now a single flyleaf (ff. 128r-v) in a collection of Middle English verse; later provenance: ""John Penyngton, 15th century: inscribed with 'Master John Penyngton schole master of Worcestur ys possessed of thys booke' (f. 2v).
John Bland, 16th century: inscribed with his name (ff. 1, 127, 127v).""",http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=4627&CollID=8&NStart=4733,,,,,,,,,,2.0,,,,100.0,,
528,London,British Library,Harley 4971,Manuel des péchés etc.,s.xiv (ex),131,Suffolk,Bury St Edmunds,"bound together after 1390 ; with ff. 1 and 129-131 flyleaves + 4 unfoliated flyleaves at the beginning and 4 at the end; composite MS; f. 128  contains verses on love in a 15th c hand ; the first part contains the name of ""Willelmus Smyth"" (41v) ; ""A different fifteenth-century hand wrote that the book belonged to Bury St Edmunds' and also copied a table of contents of the major parts (3r), which indicates that these were bound together by the fifteenth century"" ; contents between 30r and 32v and between 34v and 41v uncertain ; language of table of contents uncertain",http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=4716&CollID=8&NStart=4971 ; https://openaccess.leidenuniv.nl/handle/1887/50536,,,,,,,,,0.5,116.0,112.5,,0.21834061135371177,50.65502183406113,49.12663755458515,
528a,London,British Library,Harley 4971,Orthographia Gallica etc.,s.xiv (ex),38,,,"composite MS ; this first part contains the name of ""Willelmus Smyth"" (41v) ; ""A different fifteenth-century hand wrote that the book belonged to Bury St Edmunds' and also copied a table of contents of the major parts (3r), which indicates that these were bound together by the fifteenth century"" ; contents between 30r and 32v and between 34v and 41v uncertain",http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=4716&CollID=8&NStart=4971 ; https://openaccess.leidenuniv.nl/handle/1887/50536,,,,,,,,,,46.5,8.5,,,84.54545454545455,15.454545454545453,
528c,London,British Library,Harley 4971,Manuel des péchés etc.,s.xiv (in),36,,,"composite MS; ""The last folio of this part contains what J. A. Herbert describes as a grant of land at Aldwinkle (in Northamptonshire) from Simon de Repindon to John de Aldewyncle and his wife Agnes, dating to July 5th, 1308 (128v)""  (may suggest lay ownership) ; this part contains verses on love in a 15th c hand (f. 128v) ; the first part contains the name of ""Willelmus Smyth"" (41v). ""A different fifteenth-century hand wrote that the book belonged to Bury St Edmunds' and also copied a table of contents of the major parts (3r), which indicates that these were bound together by the fifteenth century""",http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=4716&CollID=8&NStart=4971 ; https://openaccess.leidenuniv.nl/handle/1887/50536,,,,,,,,,,70.0,1.0,,,98.59154929577466,1.4084507042253522,
529b,London,British Library,Harley 4993,Formulae Litterarum etc.,s.xiv (ex),16,,,composite MS; on paper; bound with earlier Latin material; contents checked by KAM,https://archive.org/stream/CatalogueOfTheHarleianManuscripts3/Catalogue_of_the_Harleian_Manuscripts_3#page/n245/mode/2up,,,,,,,,,,22.166666666666664,9.833333333333332,,,69.27083333333334,30.729166666666668,
53,Cambridge,Corpus Christi College,175,"Walter of Coventry (attrib.), Memoriale",s.xiii (ex),169,,,"""the first few leaves of the manuscript are taken up with a range of historical notes, extracts and genealogical tables, some relating to the archdiocese of York. The manuscript was almost certainly in the hands of the Tudor poet and antiquary John Leland (1506-1552), who thought it was in poor condition - 'Codex erat aliquot locis mancus'. The historian John Bale (1495-1563) saw the manuscript in Leland's collection, but Parker must have acquired it some time before 1572 (possibly from the Cheapside resident William Carye), since the text was used as the basis for the archbishop's Antiquitates published in that year. The manuscript was copied many time in the course of the sixteenth, seventeenth and eighteenth centuries, the details it supplied about church government in Angevin England being keenly studied by church historians.""",https://parker.stanford.edu/parker/catalog/wz622sg0521,,,,,,,,,,0.5,331.5,,,0.15060240963855423,99.84939759036145,
530,London,British Library,Harley 5234,Theological miscellany,s.xiii (med),198,,,"written by multiple scribes ; end points of Latin tracts based on catalogue description and therefore approximate; 4 unfoliated paper flyleaves at the beginning and at the end ; ""f. 198 is a 15th-century flyleaf."" ; ""The Benedictine cathedral priory of St Cuthbert, Durham: ownership inscriptions (ff. 1** verso, 4v).""",https://archive.org/stream/CatalogueOfTheHarleianManuscripts3/Catalogue_of_the_Harleian_Manuscripts_3#page/n261/mode/2up ; http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=4793,,,,,,,,,,9.5,383.5,,,2.4173027989821882,97.58269720101781,
531,London,British Library,Harley 6359,Chronicles etc,s.xiv (med),85,,,Dated to s.xiv (2/3) by Dean ; total foliation approximate,"Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999. ; https://archive.org/stream/CatalogueOfTheHarleianManuscripts3/Catalogue_of_the_Harleian_Manuscripts_3#page/n369/mode/1up",,,,,,,,,,169.66666666666666,0.3333333333333333,,,99.80392156862746,0.19607843137254907,
532b,London,British Library,Lansdowne 381,Breviary,s.xv,67,,,bound with 1 other volume,http://searcharchives.bl.uk/IAMS_VU2:IAMS041-002074903,,,,,,,,,2.0,7.5,121.5,,1.5267175572519083,5.7251908396946565,92.74809160305344,
533a,London,British Library,Lansdowne 383,flyleaf,s.xiii (1),1,,,a flyleaf,"Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,2.0,,,,100.0,,
534,London,British Library,Lansdowne 397,Medicamentum pro elystero faciendo etc,s.xiv,278,,,"ff. 6r and 9v contain both Latin and French, f. 10v and ff. 264r-278v contain only French (verified in the MS by KAM); everything else is Latin",http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002074968,6.1151,93.8849,0.0,0.0,34.0,0.0,0.0,0.0,,,,,,,,
535,London,British Library,Lansdowne 559,Miscellany,s.xiv / xv,224,,,"foliation and languages based on the catalogue description and therefore uncertain ; some texts may have been added in the fifteenth c ; on f.142 a note in a later hand about a conflict between Harry Blundell, Lord of Little Crosby and the King's tenants of Muche Crosby","Ellis, Douce. A Catalogue of the Lansdowne Manuscripts in the British Museum: With Indexes of Persons, Places, and Matters. London: Printed by Richard Taylor, 1819.",,,,,,,,,,214.5,232.5,,,47.98657718120805,52.013422818791945,
536,London,British Library,Lansdowne 782,Chanson d'Aspremont,s.xiii (med),48,,,,https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=8814&CollID=15&NStart=782 ; https://www.europeana.eu/portal/en/record/9200397/BibliographicResource_3000126274996.html,,,,,,,,,,76.0,,,,100.0,,
537a,London,British Library,Lansdowne 1176,Law treatise called Britton,s.xiv (1),130,,,,https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=5234&CollID=15&NStart=1176,,,,,,,,,,260.0,,,,100.0,,
537b,London,British Library,Lansdowne 1176,Law treatises,s.xiv (2),56,,,,https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=5234&CollID=15&NStart=1176,,,,,,,,,,112.0,,,,100.0,,
538,London,British Library,Lansdowne Ch. Rot. 3,,s.xiv (ex),roll,,,,"Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,2.0,,,,100.0,,
539,London,British Library,Loan MS 88,Life of St. Thomas Becket,s.xiii (med),4,,,"fragment, in the British Library when Dean produced her catalogue and on loan from John Paul Getty","Dean, Ruth J., and Maureen B. M. Boulton. Anglo-Norman Literature: A Guide to Texts and Manuscripts. London: Anglo-Norman Text Society, 1999.",,,,,,,,,,7.0,,,,100.0,,
54,Cambridge,Corpus Christi College,218,"Henry, Duke of Lancaster, Le livre des seintes medicines",s.xiv (ex),70+2,,,,https://parker.stanford.edu/parker/catalog/xz042hy3921,,,,,,,,,,134.5,5.5,,,96.07142857142857,3.9285714285714284,
540,London,British Library,Royal 1 C III,Bible,s.xiv,315,Berkshire,Reading Abbey,"""On f.i, 'Hic est liber monachorum claustralium Radingie'; and below, in a later hand, the number 83. The MS. was probably written in Reading Abbey, and passed (like other MSS. now in the Royal Library) to Henry VIII at the Dissolutio""; ""It is written in debased French, the prologues in particular being extraordinarily corrupt, according to Berger (op. Cit., p. 236); but the occasional insertion of English words, to which he refers, is not confined to the prologues, but occurs also in the text of the sacred books (e. g. ff. 91, 95 b, 127 b, 164, 168, I75 b, 241 b). In some cases Latin words are inserted in explanation of the French (e. g. ff. 96, 181, 191); and in some cases words are omitted altogether, apparently from ignorance of the right French word (e. g. ff 74, 80, 161, 232, 288).""",http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002105759,,,,,,,,,,7.0,,,,100.0,,
541,London,British Library,Royal 2 B VII,Queen Mary's Psalter,s.xiv (in),319,Westminster,"""Isabella [Isabella of France] (1295 - 1358), queen of England""","""Origin: Isabella [Isabella of France] (1295 - 1358), queen of England, consort of Edward II: perhaps made for her (see discussion Smith 1993 and Stanton 1996 and 2003), or Edward II [Edward of Caernarfon] (1284 - 1327), king of England and lord of Ireland, and duke of Aquitaine: Edward the Confessor is included in gold in the calendar (f. 80v).""; ""Henry Manners, 2nd earl of Rutland (1526 - 1563), courtier and soldier, arrested at the accession of Queen Mary in 1553""; owned by Queen Mary",http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002105818,,,,,,,,,,132.0,496.0,,,21.019108280254777,78.98089171974523,
542,London,British Library,Royal 2 D VI,Flores psalterii,s.xiii (2),246,,,"theological notes added later on ff. 97v, 168v, 231v, 244v-245r and 246v (in Latin); different (13th-C) added a note on the ages of the world and duration of kings on f. 244r; last leaf is a page of music; contents checked by KAM on 5/30/2018",http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002105846,,,,,,,,,,1.0,479.0,,,0.20833333333333334,99.79166666666667,
543,London,British Library,Royal 2 D XIII,Verse Apocalypse,s.xiv (1),51,,,,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Royal_MS_2_D_XIII,,,,,,,,,,51.0,51.0,,,50.0,50.0,
544,London,British Library,Royal 4 C XI,"JEROME, Commentary on Daniel",s.xiii,286,,,"material from the thirteenth century bound with earlier (11th and 12th c) booklets; foliation of first and second tracts based on catalogue and so uncertain; ""Belonged to Battle Abbey, co. Sussex, 'Liber monasterii sancti Martini de Bello Cicestrensis diocesis' (f. 1).""",http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002106016,,,,,,,,,,63.0,496.0,,,11.270125223613595,88.72987477638641,
545,London,British Library,Royal 8 C IV,"MISCELLANEOUS TREATISES, chiefly in Lati",s.xiii (ex),210,,,English and French glosses on f.41v; see catalogue for full description,http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002106336,0.7143,99.2857,0.0,,,,,,,,,,,,,
546a,London,British Library,Royal 8 E XVII,Theological tracts,s.xiii (ex),110,,,composite MS; see catalogue for description,http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002106388,2.7273,95.9091,1.3636,,,,,,,,,,,,,
547c,London,British Library,Royal 8 F IX,Guy of Warwick,s.xiv (in),50,,,composite MS,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=6518&CollID=16&NStart=80609,,,,,,,,,,110.0,,,,100.0,,
548,London,British Library,Royal 9 A II,Statutes etc.,s.xiv (in),211,,,"foliation based on catalogue and approximate ; Statute, 20 Edw. III [1346] on f.205v was added in the late 14th C",http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002106419,,,,,,,,,0.5,238.91666666666669,177.58333333333331,,0.1199040767386091,57.29416466826539,42.585931254996,
549a,London,British Library,Royal 10 B IX,Formulary containing dictaminal texts,s.xv (med),111,,,"composite MS ; first part ""written between 1411 and 1453"" ; various owner inscriptions",https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=7491&CollID=16&NStart=100209,,,,,,,,,,25.666666666666664,190.33333333333337,,,11.882716049382715,88.11728395061729,
55,Cambridge,Corpus Christi College,278,"Psalter, English and French",s.xiv (in),2+149,,,"owned by the Benedictine cathedral priory of Holy Trinity in Norwich, Norfolk. ",https://parker.stanford.edu/parker/catalog/dw236nr9575 ; http://mlgb3.bodleian.ox.ac.uk/mlgb/book/4121/,,,,,,,,,89.5,56.5,147.0,,30.546075085324233,19.283276450511945,50.170648464163826,
550,London,British Library,Royal 11 B III,Grosseteste etc.,s.xiv (in),362,Suffolk,"Brother Martin at the Benedictine abbey of St Edmund, Bury","contents based on catalogue description and therefore uncertain; ""Written by Brother Martin at the Benedictine abbey of St Edmund, Bury: inscribed: 'Fr[ater] martin[us] me sc[ri]psit' (f. 360v); 'Liber sancti edmundi regis et martiris, si quis alienaverit anathema sit', .shelfmark no. V 18 (see M. R. James, On the Abbey of S. Edmund at Bury (Cambridge: Cambridge Antiquarian Society, 1895), p. 81 no. 225).""; ""John Lumley, 1st baron Lumley (b. c. 1533, d. 1609), collector and conspirator: inscribed with his name (f. 1v); listed in the 1609 catalogue of his collection, no. 834 (see The Lumley Library, 1956); his library acquired by Henry, prince of Wales.""",https://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=5418&CollID=16&NStart=110203,,,,,,,,,,4.0,717.0,,,0.5547850208044383,99.44521497919555,
551,London,British Library,Royal 12 C XII,A collection in prose and verse,s.xiv (1),123,,,,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=19451&CollID=16&NStart=120312,,,,,,,,,15.0,156.0,73.0,,6.147540983606557,63.934426229508205,29.918032786885245,
552,London,British Library,Royal 12 D XI,DICTAMINAL FORMULARIES etc.,s.xiv,91,,,French letters added,http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002106748,,,,,,,,,,,,,,,,
553,London,British Library,Royal 12 E I,Saints' lives,s.xiv,197,,,see catalogue for contents; The Love of Christ (Dean no. 910) on ff. 194v-195r; additional articles in English and Latin added in the 15th century,http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002106755,1.2821,97.4358,1.2821,,,,,,,,,,,,,
554,London,British Library,Royal 12 F XIII,Bestiary etc.,s.xii / xiii,152,,,"2 leaves of a service book added later; "" The cathedral priory of St. Andrew, Rochester: inscribed, 'Liber de claustro Roffens[i] R. precentoris', 14th century (f. 3). 
Brother John of Malling, returned by him, probably to be identified with John Malling excommunicated as apostate and thief in 1387 (see Warner and Gilson, 1921): inscribed, 'Iste liber rep[ar]atu[m] fuit p[er] fratre[m] Joh[an]em Malli[n]gg', 14th century (f.150). 
Added leaves from a service book containing lessons and prayers for Trinity Sunday and preceding days, 14th century (ff. 1-2).
William Grybbons and Thomas Aston: inscribed with their names by the same hand, 15th century (f.151v).
Added verses in English beginning, 'He that wyll \all parell flee / He must with wysdome armyd be...', 15th century (f. 152).""",http://www.bl.uk/manuscripts/FullDisplay.aspx?index=0&ref=Royal_MS_12_F_XIII,,,,,,,,,,16.0,277.0,,,5.460750853242321,94.53924914675767,
555,London,British Library,Royal 13 A IV,"Miscellany of theological, grammatical and historical texts",s.xiii,4+102+4,,,"""'Rogerus de Noramtn': early 14th-century inscription (f. 100v). 'Johannes Burgo': 14th-century inscription (f. 100v). 'Richard Jehonys', 'Robert', 'John Parker' (perhaps of Cambridge, b. 1548, d. 1619), 'Henry Mard', 'Wyllamy Darby': 15th- or 16th-century inscription (f. 100v).""",http://www.bl.uk/manuscripts/FullDisplay.aspx?index=0&ref=Royal_MS_13_A_IV,,,,,,,,,,4.916666666666666,176.08333333333331,,,2.7163904235727436,97.28360957642724,
556b,London,British Library,Royal 13 A XVIII,Wace,s.xiv (1),97,,,"Whole manuscript: ""Written by F[rater R. hethfeld]: inscribed (f. 211).
Robert Yvory, Provincial of the Carmelites of London (1379-92): inscribed 'De Dono rev[er]endi m[agist]ri fr[at]ris rob[erti] yuroi [conven]tus lond' with pressmark M.39m.""; foliation of third tract uncertain",http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=6547&CollID=16&NStart=130118 ; https://www.europeana.eu/portal/en/record/92037/_http___www_bl_uk_onlinegallery_onlineex_illmanus_roymanucoll_d_zoomify77268_html.html,,,,,,,,,,14.5,97.5,,,12.946428571428573,87.05357142857143,
557a,London,British Library,Royal 13 A XXI,Herman de Valenciennes,s.xiii (1),10,,,composite MS,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=5535&CollID=16&NStart=130121 ; https://www.europeana.eu/portal/en/record/92037/_http___www_bl_uk_onlinegallery_onlineex_illmanus_roymanucoll_d_zoomify77273_html.html,,,,,,,,,,20.0,,,,100.0,,
557c,London,British Library,Royal 13 A XXI,"Wace, Geffrei Gaimar",s.xiv (ex),111,,,composite MS,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=5535&CollID=16&NStart=130121,,,,,,,,,,222.0,,,,100.0,,
557e,London,British Library,Royal 13 A XXI,subject index,s.xv (ex),2,,,composite MS,http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=5535&CollID=16&NStart=130121,,,,,,,,,,4.0,,,,100.0,,
558,London,British Library,Royal 13 E IX,Chronica majora,s.xiv / xv,326,Hertfordshire,St Albans Abbey,"""The Benedictine abbey of St Alban. Thomas Walsingham, monk and precentor (c. 1360-c. 1425) is thought to have supervised the compilation of this manuscript. (see Clarke, 2004 p. 165)""; checked by KAM; 2 unfoliated parchment leaves between ff. 4 and 5 ",http://www.bl.uk/catalogues/illuminatedmanuscripts/record.asp?MSID=5567&CollID=16&NStart=130509 ; http://fama.irht.cnrs.fr/manuscrit/65917 ; http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002106890 ; https://www.europeana.eu/portal/en/search?q=what%3A%22BL+Royal+14+B+V%22&view=grid,,,,,,,,,,0.5,629.5,,,0.07936507936507936,99.92063492063492,
559,London,British Library,Royal 14 B V,Genealogical chronicle,s.xiii (ex),6 membranes,,,"""There is a partly obliterated note in red, at the end, which seems to contain excuses by the illuminator, who was pressed for time.""",http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002106924,,,,,,,,,,1.0,,,,100.0,,
56,Cambridge,Corpus Christi College,297,"Statuta. Palladius, De agricultura. Thorney Documents, etc",s.xiii / s.xiv,1+22+182,Cambridgeshire,"""Thorney Abbey""","""It contains a number of disparate texts copied at Thorney Abbey in Cambridgeshire between the early thirteenth and fourteenth centuries""; on f. 205 v a Latin inscription ""Ad deponendum wartis"" and ""W. bis Wyttylsey loca Christe dato requiei""",https://parker.stanford.edu/parker/catalog/vk535sj2249,,,,,,,,,45.583333333333336,6.583333333333333,352.8333333333333,,11.25514403292181,1.625514403292181,87.11934156378601,
560,London,British Library,Royal 14 B VI,Genealogical roll,s.xiv (1),7 membranes,,,"""Added text and outlined drawings of a continuation of the chronicle from Edward II to Edward III, ending with Edward III's declaration as the king of France in 1340: 'Edward se fit apelez roy / de f[r]a[n]ce et dangleterr[e] et q[ua]trona ses armes'""; ""Henry VIII (b. 1491, d. 1547), king of England and Ireland, perhaps to be identified with the 'Le role des roys d'Angleterre', or 'Rotulus regum Anglie', in the list of books at Richmond Palace of 1535, no. 15 or 17.""",http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002106925,,,,,,,,,,1.0,,,,100.0,,
561,London,British Library,Royal 14 C II,"ROGER OF HOVEDEN, Chronica",s.xiii (in),i + 278,,,"languages in MS verified by KAM on 5/30/2018;  f. 1 and 278 are a chronicle continuation added in the 16th c; f. 278 contains a post-medieval note in English that states that the chronicle is continued in a different volume; blank unfoliated leaf between ff. 168 and 169; there are two sequential folia labelled 225; some English words on the first 225r; post-medieval owner: John Lumley, 1st baron of Lumley",http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002106983,,,,,,,,,,0.3333333333333333,553.6666666666666,,,0.06016847172081828,99.93983152827917,
562,London,British Library,Royal 14 C VII,Matthew Paris etc.,s.xiii (med),ii+232,,,folation for Latin tracts based on catalogue and uncertain; includes images of English kings (ff. 8v-9r); ff. 10r-156v also contain heraldic arms (Dean no. 391.1),http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002106988 ; https://www.europeana.eu/portal/en/record/92037/_http___www_bl_uk_onlinegallery_onlineex_illmanus_roymanucoll_t_zoomify77379_html.html,,,,,,,,,,4.0,431.0,,,0.9195402298850575,99.08045977011494,
563,London,British Library,Royal 15 D II,Welles Apocalypse,s.xiv (in),215,,,,http://searcharchives.bl.uk/IAMS_VU2:IAMS041-002323871 ; https://www.europeana.eu/portal/en/record/9200397/BibliographicResource_3000126277655.html,,,,,,,,,,428.0,,,,100.0,,
564,London,British Library,Royal 16 E II,Devotional tracts,s.xv,50,,,"see catalogue for description; ""On the fly-leaves (ff. 1 b, 2, 48 b-50) are prayers and charms in Latin and English in 15th cent. hands.""",http://searcharchives.bl.uk/IAMS_VU2:IAMS040-002107172,100.0,0.0,0.0,,,,,,,,,,,,,
565,London,British Library,Royal 16 E VIII (Lost),,s.xiii / xv,147,,,"disappeared on Saturday, June 7th, 1879",https://www.persee.fr/doc/roma_0035-8029_2008_num_126_501_1431 ; https://www.arlima.net//mss/united_kingdom/london/british_library/royal/16_E_VIII.html,,,,,,,,,,236.5,0.5,,,99.78902953586498,0.21097046413502107,
